municipality,province,latitude,longitude,surface_km2,surface_land_km2,surface_water_km2,population,avg_household_income_2012,avg_woz_2014,ww_ratio_2014,murders_2014,university,asylum_migrants_1999,asylum_migrants_2000,asylum_migrants_2001,asylum_migrants_2002,asylum_migrants_2003,asylum_migrants_2004,asylum_migrants_2005,asylum_migrants_2006,asylum_migrants_2007,asylum_migrants_2008,asylum_migrants_2009,asylum_migrants_2010,asylum_migrants_2011,asylum_migrants_2012,asylum_migrants_2013,asylum_migrants_2014,asylum_migrants_2015,flag_color1,flag_color2,flag_color3,flag_color4,shield_symbol_1,shield_symbol_2,shield_symbol_3,shieldholder_1,shieldholder_2,shield_crown
Tytsjerksteradiel,Friesland,53.176.038,5.978.680,161.4,149.4,12.0,31980,33800,192000,0.05,0,0,135,80,70,65,60,70,70,65,55,40,40,40,40,40,35,30,35,red,white,green,blue,,,,,,
Uden,Noord-Brabant,51.663.107,5.623.923,67.5,67.1,0.5,40934,35100,226000,0.04,0,0,135,135,135,125,120,115,110,110,110,115,105,105,100,95,95,90,90,blue,yellow,,,,,,,,
Uitgeest,Noord-Holland,52.531.225,4.712.046,22.3,19.2,3.1,13242,39100,238000,0.03,0,0,25,25,25,20,20,20,20,20,20,20,20,20,20,20,20,15,20,black,white,red,,lion,,,,,
Uithoorn,Noord-Holland,52.244.627,4.831.734,19.4,18.2,1.2,28407,38000,224000,0.04,0,0,110,105,110,110,110,115,110,115,120,115,115,110,105,105,100,110,105,blue,yellow,red,orange,child,horn,,,,
Urk,Flevoland,52.663.053,5.598.947,109.9,11.5,98.4,19487,37900,194000,0.02,0,0,40,35,30,25,20,15,15,5,5,5,5,5,5,5,5,0,0,blue,white,red,,fish,,,,,
Utrecht,Utrecht,52.090.737,5.121.420,99.2,94.3,4.9,328577,34300,223000,0.03,2,1,1310,1415,1515,1460,1465,1480,1470,1475,1455,1485,1475,1450,1440,1460,1455,1490,1470,red,white,,,,,,lion,lion,crown
Utrechtse Heuvelrug,Utrecht,52.052.203,5.282.495,134.1,132.2,1.9,47939,41400,305000,0.03,0,0,265,215,215,210,175,160,120,130,125,115,110,110,105,100,105,105,95,red,yellow,grey,black,cross,lion,lily,,,crown
Vaals,Limburg,50.773.218,6.011.274,23.9,23.9,0.0,9682,29100,143000,0.03,1,0,95,105,105,95,100,80,80,80,85,80,90,85,85,85,80,80,75,white,red,black,,saint lambert,lion,shield,,,
Valkenburg aan de Geul,Limburg,50.868.477,5.826.448,36.9,36.7,0.2,16668,34000,202000,0.04,0,0,110,105,95,95,85,75,65,65,60,60,60,65,60,55,55,45,45,yellow,red,blue,,castle,eagle,lily,lion,lion,crown
Valkenswaard,Noord-Brabant,51.355.496,5.453.327,56.5,55.0,1.5,30353,34500,244000,0.04,1,0,80,90,95,90,85,85,75,70,80,80,80,75,60,60,55,50,50,blue,yellow,,,saint nicolas,child,,,,
Veendam,Groningen,53.106.278,6.875.100,78.7,76.1,2.6,27795,30500,142000,0.05,0,0,175,150,135,120,110,90,85,70,65,60,55,55,55,45,40,45,45,blue,white,green,yellow,olive branch,snake,lily,,,
Veenendaal,Utrecht,52.026.301,5.554.431,19.7,19.5,0.2,63207,34800,210000,0.04,0,0,290,310,345,355,355,365,365,370,370,370,370,340,325,320,310,305,295,yellow,blue,black,,ship,,,,,crown
Veere,Zeeland,51.548.294,3.666.006,206.6,133.1,73.5,21882,36600,261000,0.03,0,0,80,65,60,55,45,40,40,35,30,15,10,10,5,5,10,10,10,green,blue,yellow,white,ship,tower,savage,,,crown
Veldhoven,Noord-Brabant,51.417.634,5.406.021,31.9,31.7,0.2,44136,37300,254000,0.04,0,0,130,135,145,150,150,130,130,120,105,120,120,115,115,115,110,110,90,blue,red,white,,lion,diamond,,,,crown
Velsen,Noord-Holland,52.452.059,4.630.587,63.1,44.8,18.3,67231,35300,222000,0.03,0,0,230,230,255,275,265,255,245,235,225,220,225,235,230,215,205,200,175,yellow,blue,,,agnus dei,cross,,,,
Venlo,Limburg,51.370.375,6.172.403,129.0,125.0,4.0,100381,31200,177000,0.06,1,0,585,580,575,505,500,475,470,435,435,420,395,380,375,375,365,355,350,blue,red,yellow,black,lion,anchor,crown,knight,knight,
Venray,Limburg,51.525.626,5.973.699,165.0,163.4,1.6,43120,35100,213000,0.05,0,0,250,260,285,295,270,270,245,235,225,215,210,220,210,200,195,190,185,white,blue,black,,beehive,key,snake,,,
Vianen,Utrecht,51.990.276,5.103.033,42.4,39.5,2.9,19573,37400,219000,0.04,0,0,100,95,80,75,75,70,65,60,60,60,55,55,50,50,55,55,50,white,yellow,red,black,pillar,,,,,crown
Vlaardingen,Zuid-Holland,51.912.067,4.349.437,26.7,23.6,3.1,71059,31700,164000,0.04,1,0,510,540,570,570,560,575,560,520,500,490,470,470,460,435,415,405,390,red,yellow,blue,,lion,,,griffin,griffin,crown
Vlieland,Friesland,53.250.184,4.951.427,315.8,36.1,279.7,1097,30600,243000,,0,0,45,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,green,white,,,ship,flag,,,,
Vlissingen,Zeeland,51.453.667,3.570.912,344.8,34.2,310.7,44450,30200,153000,0.05,0,0,305,340,330,310,260,260,255,240,235,215,210,200,185,185,170,170,155,red,white,,,jar,crown,,,,crown
Voerendaal,Limburg,50.879.153,5.931.160,31.5,31.5,0.0,12447,36800,206000,0.05,0,0,35,35,25,25,25,25,25,20,20,20,25,25,20,20,15,15,15,yellow,blue,red,,saint laurent,cross,lion,,,crown
Voorschoten,Zuid-Holland,52.123.790,4.438.598,11.6,11.2,0.4,24941,42300,283000,0.03,0,0,65,60,60,65,70,70,55,50,50,55,50,55,45,50,50,50,50,yellow,black,,,moon,,,,,crown
Voorst,Gelderland,52.225.271,6.099.050,126.5,123.1,3.4,23801,37300,261000,0.04,0,0,95,95,90,85,75,60,50,50,45,45,45,40,30,20,20,20,20,yellow,red,,,,,,,,crown
Vught,Noord-Brabant,51.653.306,5.294.347,34.4,33.5,1.0,25626,40300,324000,0.04,0,0,400,265,205,125,115,110,110,120,125,120,105,105,100,85,85,75,75,yellow,blue,red,,lion,key,church,,,
Waadhoeke,Friesland,53.184.738,5.531.866,,,,,,,,0,0,,,,,,,,,,,,,,,,,,yellow,blue,green,,,,,,,
Waalre,Noord-Brabant,51.387.833,5.443.202,22.7,22.4,0.3,16804,43000,302000,0.04,1,0,50,55,60,60,60,60,60,55,60,55,55,55,50,50,50,45,45,red,blue,yellow,,horn,lily,,,,saint willibrord
