municipality,province,latitude,longitude,surface_km2,surface_land_km2,surface_water_km2,population,avg_household_income_2012,avg_woz_2014,ww_ratio_2014,murders_2014,university,asylum_migrants_1999,asylum_migrants_2000,asylum_migrants_2001,asylum_migrants_2002,asylum_migrants_2003,asylum_migrants_2004,asylum_migrants_2005,asylum_migrants_2006,asylum_migrants_2007,asylum_migrants_2008,asylum_migrants_2009,asylum_migrants_2010,asylum_migrants_2011,asylum_migrants_2012,asylum_migrants_2013,asylum_migrants_2014,asylum_migrants_2015,flag_color1,flag_color2,flag_color3,flag_color4,shield_symbol_1,shield_symbol_2,shield_symbol_3,shieldholder_1,shieldholder_2,shield_crown
Bedum,Groningen,53.301.675,6.599.829,45.0,44.6,0.4,10475,33900,176000,0.04,0,0,30,30,30,30,25,25,20,20,25,15,15,15,15,10,10,10,10,yellow,white,blue,,spade,cross,book,,,crown
Beek,Limburg,50.939.316,5.795.647,21.0,21.0,0.0,16268,35300,184000,0.04,0,0,80,80,80,80,70,70,65,70,65,55,50,60,60,60,65,65,60,white,blue,,,lion,cross,snake,,,crown
Beemster,Noord-Holland,52.547.559,4.913.332,72.1,70.6,1.5,8919,41400,304000,0.02,0,0,40,40,35,25,25,25,20,20,20,20,15,20,20,15,20,15,15,red,green,yellow,blue,cow,sun,,,,
Beesel,Limburg,51.269.698,6.046.834,29.2,28.1,1.0,13593,33600,186000,0.05,0,0,45,50,45,50,50,50,50,50,50,50,55,50,45,35,35,35,30,yellow,blue,red,green,dragon,,,,,
Berg en Dal,Gelderland,51.818.121,5.920.082,44.1,44.1,0.0,18956,,,,0,0,,,,,,,,,,,,,,,,,,white,red,black,yellow,lion,rose,,,,crown
Bergeijk,Noord-Brabant,51.319.716,5.357.500,101.7,101.2,0.6,18250,37700,291000,0.04,0,0,40,40,50,50,45,40,30,30,25,20,20,15,15,10,15,10,10,yellow,blue,white,red,lion,lily,,saint peter,oak,crown
Bergen (L.),Limburg,51.599.866,6.032.998,108.5,103.8,4.7,13230,34000,208000,0.05,0,0,75,80,80,75,75,75,75,65,55,50,45,30,30,30,30,25,25,yellow,blue,red,,,,,,,
Bergen (NH.),Noord-Holland,52.674.937,4.706.395,119.5,97.1,22.4,30075,39400,349000,0.03,0,0,200,160,125,95,95,85,65,65,60,55,55,55,55,50,45,45,45,white,blue,orange,,martlet,,,,,crown
Bergen op Zoom,Noord-Brabant,51.494.576,4.287.162,93.1,80.0,13.1,66423,33600,195000,0.05,0,0,240,250,260,245,240,230,215,210,195,180,185,185,175,165,165,165,160,red,white,green,yellow,cross,mountain,,savage,savage,crown
Berkelland,Gelderland,52.115.157,6.561.501,260.5,258.7,1.8,44650,34700,205000,0.05,0,0,130,105,95,80,70,65,60,55,50,50,40,35,35,30,30,30,25,blue,brown,,,greyhound,,,lion,lion,crown
Bernheze,Noord-Brabant,51.660.272,5.501.401,90.4,89.8,0.7,29703,38500,278000,0.04,0,0,90,95,90,85,85,65,65,65,60,60,50,55,55,50,45,40,45,red,white,,,reedmace,,,,,crown
Best,Noord-Brabant,51.507.764,5.397.848,35.1,34.3,0.8,28594,39100,262000,0.04,0,0,95,105,110,110,110,110,105,100,100,105,100,95,85,80,85,90,95,yellow,black,red,,saint odulphus,,,,,crown
Beuningen,Gelderland,51.859.724,5.769.107,47.1,43.7,3.4,25254,37400,231000,0.05,1,0,80,85,85,85,80,70,70,70,65,60,60,60,70,65,60,65,55,white,black,blue,red,eagle,stronghold,lion,,,crown
Beverwijk,Noord-Holland,52.486.984,4.657.447,20.1,18.3,1.8,40052,32500,178000,0.04,2,0,130,135,125,120,125,110,120,120,135,155,150,140,150,155,170,165,155,red,white,,,lion,lily,,angel,angel,mantle and pavilion
Binnenmaas,Zuid-Holland,51.796.188,4.548.157,75.6,69.3,6.3,28682,39300,231000,0.03,0,0,105,105,100,90,90,80,80,80,70,55,45,40,40,40,40,40,40,yellow,red,black,,lily,shell,star,,,crown
Bladel,Noord-Brabant,51.362.963,5.213.639,75.6,75.4,0.3,19825,37200,272000,0.03,0,0,45,55,55,55,55,45,40,35,35,25,25,20,20,20,15,15,15,yellow,black,red,white,key,,,,,crown
Blaricum,Noord-Holland,52.272.669,5.248.080,15.6,11.1,4.5,9112,51600,536000,0.03,0,0,30,35,30,30,30,30,30,30,25,25,25,20,20,20,20,15,15,blue,green,white,,cornflower,,,,,
Bloemendaal,Noord-Holland,52.404.947,4.620.185,45.2,39.7,5.5,22077,55600,549000,0.03,0,0,85,95,95,85,65,50,45,40,35,35,30,35,35,35,30,30,30,white,black,green,,leaf,,,,,crown
